Stations_ID; Mess_Datum; Qualitaets_Niveau; Struktur_Version; LUFTTEMPERATUR;REL_FEUCHTE;eor
  4642;2013113011;   7;  38;   6.0;  93.0;eor
  4642;2013113012;   7;  38;   5.9;  94.0;eor
  4642;2013113013;   7;  38;   5.9;  94.0;eor
  4642;2013113014;   7;  38;   5.8;  91.0;eor
  4642;2013113015;   7;  38;   5.5;  85.0;eor
  4642;2013113016;   7;  38;   5.1;  92.0;eor
  4642;2013113017;   7;  38;   5.0;  89.0;eor
  4642;2013113018;   7;  38;   4.8;  91.0;eor
  4642;2013113019;   7;  38;   4.5;  90.0;eor
  4642;2013113020;   7;  38;   4.3;  91.0;eor
  4642;2013113021;   7;  38;   4.2;  94.0;eor
  4642;2013113022;   7;  38;   4.3;  97.0;eor
  4642;2013113023;   7;  38;   4.5; 100.0;eor
  4642;2013120100;   7;  38;   4.6; 100.0;eor
  4642;2013120101;   7;  38;   4.5; 100.0;eor
  4642;2013120102;   7;  38;   4.3;  97.0;eor
  4642;2013120103;   7;  38;   4.1;  97.0;eor
  4642;2013120104;   7;  38;   4.1;  98.0;eor
  4642;2013120105;   7;  38;   3.9;  97.0;eor
  4642;2013120106;   7;  38;   3.8;  98.0;eor
  4642;2013120107;   7;  38;   4.7;  95.0;eor
  4642;2013120108;   7;  38;   4.9;  97.0;eor
  4642;2013120109;   7;  38;   5.6;  94.0;eor
  4642;2013120110;   7;  38;   6.5;  93.0;eor
  4642;2013120111;   7;  38;   7.1;  90.0;eor
  4642;2013120112;   7;  38;   7.4;  90.0;eor
  4642;2013120113;   7;  38;   7.8;  89.0;eor
  4642;2013120114;   7;  38;   7.7;  90.0;eor
  4642;2013120115;   7;  38;   7.9;  90.0;eor
  4642;2013120116;   7;  38;   7.6;  91.0;eor
  4642;2013120117;   7;  38;   7.4;  86.0;eor
  4642;2013120118;   7;  38;   6.7;  87.0;eor
  4642;2013120119;   7;  38;   7.3;  82.0;eor
  4642;2013120120;   7;  38;   7.3;  81.0;eor
  4642;2013120121;   7;  38;   6.1;  86.0;eor
  4642;2013120122;   7;  38;   5.1;  90.0;eor
  4642;2013120123;   7;  38;   4.0;  94.0;eor
  4642;2013120200;   7;  38;   3.2;  97.0;eor
  4642;2013120201;   7;  38;   2.0;  98.0;eor
  4642;2013120202;   7;  38;   1.2;  99.0;eor
  4642;2013120203;   7;  38;   0.5; 100.0;eor
  4642;2013120204;   7;  38;  -0.7; 100.0;eor
  4642;2013120205;   7;  38;  -1.2; 100.0;eor
  4642;2013120206;   7;  38;  -0.8; 100.0;eor
  4642;2013120207;   7;  38;  -1.8; 100.0;eor
  4642;2013120208;   7;  38;  -1.6; 100.0;eor
  4642;2013120209;   7;  38;  -1.1; 100.0;eor
  4642;2013120210;   7;  38;  -0.3; 100.0;eor
  4642;2013120211;   7;  38;   1.5; 100.0;eor
  4642;2013120212;   7;  38;   2.0; 100.0;eor
  4642;2013120213;   7;  38;   1.7; 100.0;eor
  4642;2013120214;   7;  38;   1.8; 100.0;eor
  4642;2013120215;   7;  38;   1.7; 100.0;eor
  4642;2013120216;   7;  38;   1.6; 100.0;eor
  4642;2013120217;   7;  38;   1.7; 100.0;eor
  4642;2013120218;   7;  38;   1.8; 100.0;eor
  4642;2013120219;   7;  38;   1.5; 100.0;eor
  4642;2013120220;   7;  38;   1.5; 100.0;eor
  4642;2013120221;   7;  38;   1.2; 100.0;eor
  4642;2013120222;   7;  38;   0.7; 100.0;eor
  4642;2013120223;   7;  38;   0.4; 100.0;eor
  4642;2013120300;   7;  38;   0.3; 100.0;eor
  4642;2013120301;   7;  38;   0.5; 100.0;eor
  4642;2013120302;   7;  38;   0.9; 100.0;eor
  4642;2013120303;   7;  38;   1.2; 100.0;eor
  4642;2013120304;   7;  38;   1.2; 100.0;eor
  4642;2013120305;   7;  38;   0.8; 100.0;eor
  4642;2013120306;   7;  38;   0.6; 100.0;eor
  4642;2013120307;   7;  38;   0.0; 100.0;eor
  4642;2013120308;   7;  38;  -0.3; 100.0;eor
  4642;2013120309;   7;  38;  -0.4; 100.0;eor
  4642;2013120310;   7;  38;   0.1; 100.0;eor
  4642;2013120311;   7;  38;   0.5; 100.0;eor
  4642;2013120312;   7;  38;   0.7; 100.0;eor
  4642;2013120313;   7;  38;   1.1; 100.0;eor
  4642;2013120314;   7;  38;   1.2; 100.0;eor
  4642;2013120315;   7;  38;   1.1; 100.0;eor
  4642;2013120316;   7;  38;   0.8; 100.0;eor
  4642;2013120317;   7;  38;   0.4; 100.0;eor
  4642;2013120318;   7;  38;  -0.5; 100.0;eor
  4642;2013120319;   7;  38;  -0.4; 100.0;eor
  4642;2013120320;   7;  38;  -0.4; 100.0;eor
  4642;2013120321;   7;  38;  -0.6; 100.0;eor
  4642;2013120322;   7;  38;  -0.9; 100.0;eor
  4642;2013120323;   7;  38;  -1.1; 100.0;eor
  4642;2013120400;   7;  38;  -1.3; 100.0;eor
  4642;2013120401;   7;  38;  -1.8; 100.0;eor
  4642;2013120402;   7;  38;  -2.3; 100.0;eor
  4642;2013120403;   7;  38;  -1.6; 100.0;eor
  4642;2013120404;   7;  38;  -0.4; 100.0;eor
