"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 21:45:00,312,8.4,89.2,7.98,97.44,0,0
2014-11-11 21:46:00,313,8.38,89.2,7.93,97.34,0,0
2014-11-11 21:47:00,314,8.32,89.2,7.88,97.44,0,0
2014-11-11 21:48:00,315,8.27,89.2,7.79,97.34,0,0
2014-11-11 21:49:00,316,8.28,89.3,7.81,97.53,0,0
2014-11-11 21:50:00,317,8.2,89.2,7.72,97.53,0,0
2014-11-11 21:51:00,318,8.24,89.5,7.8,97.73,0,0
2014-11-11 21:52:00,319,8.33,89.6,7.91,98.01,0,0
2014-11-11 21:53:00,320,8.32,89.5,7.93,98.01,0,0
2014-11-11 21:54:00,321,8.29,89.4,7.89,97.92,0,0
2014-11-11 21:55:00,322,8.28,89.4,7.83,97.82,0,0
2014-11-11 21:56:00,323,8.28,89.4,7.86,97.92,0,0
2014-11-11 21:57:00,324,8.3,89.5,7.87,97.92,0,0
2014-11-11 21:58:00,325,8.31,89.6,7.97,98.11,0,0
2014-11-11 21:59:00,326,8.3,89.5,7.96,98.11,0,0
2014-11-11 22:00:00,327,8.2,89.3,7.81,97.82,0,0
2014-11-11 22:01:00,328,8.2,89.5,7.85,97.92,0,0
2014-11-11 22:02:00,329,8.21,89.6,7.85,98.01,0,0
2014-11-11 22:03:00,330,8.22,89.7,7.83,98.11,0,0
2014-11-11 22:04:00,331,8.24,89.7,7.83,98.11,0,0
2014-11-11 22:05:00,332,8.22,89.7,7.8,98.11,0,0
2014-11-11 22:06:00,333,8.18,89.7,7.74,98.11,0,0
2014-11-11 22:07:00,334,8.19,89.7,7.7,98.2,0,0
2014-11-11 22:08:00,335,8.14,89.7,7.66,98.2,0,0
2014-11-11 22:09:00,336,8.21,89.9,7.72,98.39,0,0
2014-11-11 22:10:00,337,8.24,89.9,7.76,98.49,0,0
2014-11-11 22:11:00,338,8.22,89.9,7.79,98.49,0,0
2014-11-11 22:12:00,339,8.17,89.8,7.74,98.49,0,0
2014-11-11 22:13:00,340,8.12,89.7,7.72,98.49,0,0
