"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-11-11 18:19:00",120,-0.541,0.009,0.131,15.33,0.132,-0.046,0.017,-0.02,0.205,-0.022,0,0.033,-0.015,0.038,300,0
"2014-11-11 18:20:00",121,-0.782,0.486,-0.164,15.3,0.09,-0.078,0.032,-0.035,0.186,-0.063,0.085,0.064,-0.03,0.082,300,-1
"2014-11-11 18:21:00",122,-0.643,-0.204,-0.036,15.26,0.093,-0.045,0.021,-0.037,0.092,0.008,0.022,0.05,-0.016,0.048,300,-1
"2014-11-11 18:22:00",123,-0.925,-0.261,-0.005,15.37,0.074,0.033,0.011,-0.028,0.231,0.038,0.003,0.034,-0.017,0.049,300,-1
"2014-11-11 18:23:00",124,-1.028,-0.509,-0.138,15.28,0.052,0.039,0.011,-0.015,0.169,0.036,-0.063,0.039,-0.016,0.037,301,0
"2014-11-11 18:24:00",125,-0.846,-0.447,-0.045,15.23,0.191,0.025,-0.008,-0.062,0.181,-0.008,-0.042,0.041,0.004,0.072,300,0
"2014-11-11 18:25:00",126,-0.723,-0.593,-0.177,15.48,0.088,0,0.02,-0.036,0.061,0.006,-0.022,0.057,-0.022,0.046,300,-1
"2014-11-11 18:26:00",127,-0.379,-0.173,0.035,15.28,0.04,0.032,0.007,-0.005,0.124,0.019,-0.012,0.018,-0.005,0.015,300,-1
"2014-11-11 18:27:00",128,-0.738,-0.533,-0.119,15.38,0.122,0.06,0.02,-0.024,0.225,-0.013,-0.014,0.053,-0.01,0.039,301,0
"2014-11-11 18:28:00",129,-0.602,-0.054,0.006,15.39,0.062,-0.011,0.002,-0.01,0.057,0,0.02,0.02,0.003,0.02,300,0
"2014-11-11 18:29:00",130,-0.849,-0.118,-0.164,15.43,0.31,0.107,0.037,-0.041,0.287,0.016,0.02,0.099,-0.038,0.046,300,-1
"2014-11-11 18:30:00",131,-0.568,0.079,-0.081,15.55,0.036,0.039,-0.011,0.008,0.167,-0.025,0.023,0.017,-0.005,0.009,300,-1
"2014-11-11 18:31:00",132,-0.405,-0.197,0,15.43,0.039,-0.011,0.004,-0.002,0.094,-0.013,0.012,0.026,-0.008,0.041,300,-1
"2014-11-11 18:32:00",133,-1.126,-0.236,-0.087,15.57,0.104,0.048,0.019,0.068,0.297,-0.01,0.031,0.071,-0.008,0.158,301,0
"2014-11-11 18:33:00",134,-0.97,-0.259,-0.058,15.45,0.089,0.037,0.046,-0.019,0.112,0.014,-0.035,0.1,-0.017,0.037,300,0
"2014-11-11 18:34:00",135,-0.384,-0.074,0,15.36,0.038,-0.009,0.002,-0.005,0.025,0.002,0.004,0.007,-0.001,0.009,300,-1
"2014-11-11 18:35:00",136,-0.565,-0.614,-0.014,15.4,0.13,0.003,0.017,-0.06,0.081,0.008,-0.007,0.019,-0.01,0.041,300,-1
"2014-11-11 18:36:00",137,-0.461,-0.346,0.036,15.28,0.118,-0.071,0.003,-0.067,0.101,-0.006,0.048,0.01,-0.001,0.063,300,-1
"2014-11-11 18:37:00",138,-0.435,-0.258,-0.009,15.27,0.078,0.026,0.025,-0.038,0.046,0.009,-0.031,0.037,-0.02,0.068,301,0
"2014-11-11 18:38:00",139,-0.589,-0.162,-0.07,15.59,0.06,0.013,0.017,-0.01,0.03,0.008,0.003,0.023,-0.003,0.01,300,0
"2014-11-11 18:39:00",140,-0.215,-0.19,0.043,15.18,0.022,0.002,-0.004,-0.027,0.019,-0.004,0.002,0.02,0.003,0.075,300,0
"2014-11-11 18:40:00",141,-0.196,-0.168,-0.004,14.97,0.014,-0.001,0,-0.009,0.031,-0.002,-0.004,0.006,0.003,0.045,300,-1
"2014-11-11 18:41:00",142,-0.154,-0.088,-0.045,14.89,0.016,-0.001,0,-0.012,0.008,-0.002,0.012,0.006,-0.002,0.036,300,-1
"2014-11-11 18:42:00",143,-0.571,-0.124,-0.057,15.5,0.063,-0.032,0.015,-0.048,0.064,-0.014,0.027,0.038,-0.02,0.092,301,0
"2014-11-11 18:43:00",144,-0.75,0.145,-0.081,15.62,0.074,0.024,-0.006,0.03,0.051,-0.007,0.033,0.043,-0.014,0.074,300,0
"2014-11-11 18:44:00",145,-0.954,-0.1,-0.019,15.13,0.066,-0.005,0.021,0.053,0.022,0.004,0.011,0.026,0.033,0.221,300,-1
